product_id,product_name
4653,BAKED BREAD/BUNS/ROLLS
4895,EGGS
4908,EGGS
5037,BAKED BREAD/BUNS/ROLLS
5698,FLUID MILK PRODUCTS
5794,FLUID MILK PRODUCTS
6055,FLUID MILK PRODUCTS
6164,FLUID MILK PRODUCTS
6504,FRZN MEAT/MEAT DINNERS
7037,CHEESE
7073,WATER - CARBONATED/FLVRD DRINK
7248,CHEESE
7324,FLUID MILK PRODUCTS
7367,FLUID MILK PRODUCTS
7453,REFRGRATD JUICES/DRNKS
7673,FLUID MILK PRODUCTS
7706,FLUID MILK PRODUCTS
7735,MARGARINES
7784,FLUID MILK PRODUCTS
7824,SOFT DRINKS
7953,EGGS
8054,HOT CEREAL
8213,SOFT DRINKS
8259,YOGURT
8431,MILK BY-PRODUCTS
8762,COFFEE
9444,PAPER TOWELS
9559,SUGARS/SWEETNERS
9755,SEAFOOD - SHELF STABLE
10839,SOFT DRINKS
11279,VEGETABLES - ALL OTHERS
12119,BAKED BREAD/BUNS/ROLLS
14106,SOFT DRINKS
14216,DINNER SAUSAGE
14729,DRY SAUCES/GRAVY
16358,REFRGRATD JUICES/DRNKS
18083,PEPPERS-ALL
19436,BAKED BREAD/BUNS/ROLLS
19986,SOFT DRINKS
22447,REFRIGERATED
24368,REFRIGERATED
25486,EGGS
25646,VALUE ADDED VEGETABLES
25807,REFRIGERATED
1330,PEPPERS-ALL
3216,DELI MEATS
6987,ONIONS
7128,TOMATOES
7645,BROCCOLI/CAULIFLOWER
13132,TOMATOES
14194,TROPICAL FRUIT
17422,VEGETABLES SALAD
18720,GRAPES
22916,FLUID MILK PRODUCTS
23619,SOFT DRINKS
24259,SOFT DRINKS
26144,FUEL
1362,CHICKEN
3150,SALAD BAR
3873,BEEF
6740,BACON
11565,WATER - CARBONATED/FLVRD DRINK
15110,BAKED SWEET GOODS
20809,VEGETABLES - ALL OTHERS
22810,WATER - CARBONATED/FLVRD DRINK
793,COUPON/MISC ITEMS
2319,CHICKEN/POULTRY
4178,TOMATOES
4625,COUPON/MISC ITEMS
7169,FLUID MILK PRODUCTS
10004,EGGS
17877,COUPON/MISC ITEMS
19664,FLUID MILK PRODUCTS
168,PEPPERS-ALL
3003,FLUID MILK PRODUCTS
3044,SOFT DRINKS
10012,FLUID MILK PRODUCTS
4002,FLUID MILK PRODUCTS
5497,GRAPES
11154,TROPICAL FRUIT
18654,COUPONS/STORE & MFG
22233,FLUID MILK PRODUCTS
4546,CARROTS
5695,BEANS - CANNED GLASS & MW
5696,COLD CEREAL
5700,CONVENIENT BRKFST/WHLSM SNACKS
5714,LIQUOR
5720,PASTA SAUCE
5725,PREPARED FOOD
5731,CANNED JUICES
5732,FRZN JCE CONC/DRNKS
5759,BABY FOODS
5762,CAT FOOD
5769,BREAKFAST SAUSAGE/SANDWICHES
5778,HOME FREEZING & CANNING SUPPLY
5779,PASTA SAUCE
5781,BEEF
5787,PASTA SAUCE
5789,CONVENIENT BRKFST/WHLSM SNACKS
5807,DOG FOODS
5811,CHARCOAL AND LIGHTER FLUID
5813,BEERS/ALES
5823,PAPER TOWELS
5830,CONVENIENT BRKFST/WHLSM SNACKS
5836,FRUIT - SHELF STABLE
5839,CAT FOOD
5841,ANTACIDS
5845,HAND/BODY/FACIAL PRODUCTS
5848,CAT FOOD
5849,SPICES & EXTRACTS
5850,BERRIES
5852,HISPANIC
5853,INFANT CARE PRODUCTS
5858,REFRIGERATED
5859,SINUS AND ALLERGY
5860,FEMININE HYGIENE
5862,INSECTICIDES
5868,CAT FOOD
5869,BROOMS AND MOPS
5871,CHEESE
5886,NON-DAIRY BEVERAGES
5887,MEAT - SHELF STABLE
5888,PEPPERS-ALL
5889,COUPON/MISC ITEMS
5890,SPICES & EXTRACTS
5893,DRY MIX DESSERTS
5895,DOG FOODS
5901,PASTA SAUCE
5902,ADULT INCONTINENCE
5908,SNACK NUTS
5910,CHEESES
5911,FRZN BREAKFAST FOODS
5912,SEAFOOD-FRESH
5921,DRY BN/VEG/POTATO/RICE
5932,DOG FOODS
5937,MEAT - SHELF STABLE
5947,BACON
5954,CAT FOOD
5955,FRZN NOVELTIES/WTR ICE
5959,DRY MIX DESSERTS
5961,CONDIMENTS/SAUCES
5963,COFFEE FILTERS
5964,CITRUS
5975,CHIPS&SNACKS
5982,DELI SPECIALTIES (RETAIL PK)
5991,LAUNDRY ADDITIVES
5993,FLORAL-FRESH CUT
5994,WATER - CARBONATED/FLVRD DRINK
5998,LAUNDRY DETERGENTS
6002,NUTS
6005,HOT CEREAL
6006,FEMININE HYGIENE
6009,BEANS - CANNED GLASS & MW
6010,SOFT DRINKS
6012,LAXATIVES
6020,OLIVES
6029,CITRUS
6035,FRZN MEAT/MEAT DINNERS
6039,ORGANICS FRUIT & VEGETABLES
6045,BAKING MIXES
6048,YOGURT
6052,DOMESTIC WINE
6053,MARGARINES
6058,SOFT DRINKS
6059,STATIONERY & SCHOOL SUPPLIES
6066,TEAS
6074,PICKLE/RELISH/PKLD VEG
6078,PET CARE SUPPLIES
6081,BATTERIES
6087,FEMININE HYGIENE
6088,FRZN NOVELTIES/WTR ICE
6089,PLASTIC HOUSEWARES
6093,DRY MIX DESSERTS
6101,ISOTONIC DRINKS
6102,BAKED SWEET GOODS
6108,WATER - CARBONATED/FLVRD DRINK
6109,FLUID MILK PRODUCTS
6115,BABY HBC
6116,FRZN BREAKFAST FOODS
6123,PNT BTR/JELLY/JAMS
6124,FRZN JCE CONC/DRNKS
6125,SOUP
6131,EGGS
6138,DEODORANTS
6139,ELECTRICAL SUPPPLIES
6140,VEGETABLES - SHELF STABLE
6141,SNKS/CKYS/CRKR/CNDY
6143,LAXATIVES
6146,HISPANIC
6149,TEAS
6152,BAG SNACKS
6154,LAUNDRY DETERGENTS
6155,REFRGRATD DOUGH PRODUCTS
6160,CONDIMENTS
6161,COOKIES/CONES
6166,CANNED JUICES
6169,HISPANIC
6171,BAKING NEEDS
6176,CONVENIENT BRKFST/WHLSM SNACKS
6178,CIGARS
6184,CANNED JUICES
6191,POTATOES
6192,FD WRAPS/BAGS/TRSH BG
6202,SEAFOOD - FROZEN
6203,CHEESE
6204,DRY BN/VEG/POTATO/RICE
6205,FROZEN PIZZA
6212,SPICES & EXTRACTS
6219,SHORTENING/OIL
6221,CHEESE
6224,NO COMMODITY DESCRIPTION
6228,ROLLS
6234,BABY FOODS
6236,LUNCHMEAT
6239,CHEESE
6242,POPCORN
6243,ICE CREAM/MILK/SHERBTS
