user_id,basket_id,days_since_prior_basket,days
1,1,100000.0,252
1,2,4.0,256
1,3,5.0,261
1,4,7.0,270
1,5,7.0,277
1,6,7.0,284
1,7,7.0,291
1,8,4.0,295
1,9,3.0,298
1,10,7.0,305
1,11,14.0,319
1,12,7.0,326
1,13,3.0,329
1,14,4.0,333
1,15,7.0,340
1,16,4.0,344
2,17,100000.0,250
2,18,3.0,253
2,19,3.0,260
2,20,5.0,267
2,21,7.0,274
2,22,3.0,277
2,23,12.0,289
3,24,100000.0,251
3,25,3.0,254
3,26,6.0,260
3,27,7.0,269
3,28,6.0,275
3,29,6.0,283
3,30,6.0,289
3,31,6.0,295
3,32,4.0,299
4,33,100000.0,252
4,34,8.0,260
4,35,6.0,266
4,36,7.0,273
4,37,3.0,276
4,38,7.0,283
4,39,8.0,291
4,40,11.0,302
4,41,8.0,312
4,42,6.0,318
4,43,7.0,325
4,44,7.0,332
4,45,8.0,340
5,46,100000.0,250
5,47,3.0,254
5,48,3.0,257
5,49,4.0,264
5,50,3.0,280
5,51,4.0,301
6,52,100000.0,250
6,53,8.0,258
6,54,8.0,266
6,55,6.0,272
6,56,5.0,279
6,57,7.0,286
6,58,7.0,293
6,59,7.0,300
6,60,15.0,315
6,61,6.0,321
6,62,6.0,327
6,63,7.0,334
6,64,7.0,341
6,65,7.0,348
7,66,100000.0,251
7,67,6.0,257
7,68,18.0,275
7,69,4.0,279
7,70,5.0,284
7,71,5.0,291
7,72,5.0,296
7,73,5.0,303
7,74,7.0,312
8,75,100000.0,251
8,76,5.0,258
8,77,5.0,266
8,78,4.0,271
8,79,5.0,278
8,80,3.0,281
8,81,4.0,285
8,82,4.0,289
8,83,4.0,293
8,84,5.0,299
8,85,7.0,306
8,86,4.0,310
8,87,7.0,317
8,88,10.0,327
8,89,7.0,334
8,90,4.0,338
8,91,5.0,343
8,92,6.0,349
9,93,100000.0,263
9,94,17.0,280
9,95,4.0,284
9,96,13.0,299
9,97,11.0,312
9,98,3.0,315
9,99,19.0,334
10,100,100000.0,255
10,101,5.0,260
10,102,6.0,266
10,103,4.0,270
10,104,4.0,274
10,105,7.0,281
10,106,3.0,284
10,107,4.0,288
10,108,6.0,294
10,109,7.0,301
10,110,8.0,309
10,111,7.0,316
10,112,5.0,321
10,113,6.0,329
10,114,8.0,337
11,115,100000.0,251
11,116,6.0,257
11,117,6.0,265
11,118,5.0,270
11,119,5.0,275
11,120,3.0,278
11,121,11.0,289
11,122,3.0,292
11,123,3.0,297
11,124,6.0,305
11,125,5.0,310
11,126,5.0,315
11,127,5.0,320
11,128,3.0,324
11,129,4.0,328
11,130,4.0,332
11,131,10.0,342
11,132,6.0,348
11,133,3.0,351
12,134,100000.0,251
12,135,3.0,254
12,136,3.0,258
12,137,4.0,262
12,138,4.0,272
12,139,6.0,278
12,140,5.0,283
12,141,5.0,290
12,142,4.0,294
12,143,4.0,302
12,144,4.0,308
12,145,3.0,311
12,146,6.0,319
12,147,3.0,322
12,148,5.0,327
12,149,5.0,332
12,150,3.0,335
12,151,7.0,342
12,152,3.0,345
12,153,5.0,350
12,154,3.0,353
13,155,100000.0,250
13,156,8.0,263
13,157,18.0,281
13,158,7.0,291
13,159,5.0,296
13,160,4.0,302
13,161,6.0,308
13,162,4.0,314
13,163,10.0,324
13,164,7.0,331
13,165,4.0,335
13,166,4.0,339
13,167,3.0,342
13,168,3.0,345
13,169,4.0,349
14,170,100000.0,264
14,171,6.0,271
14,172,5.0,278
14,173,16.0,296
14,174,8.0,304
14,175,6.0,310
14,176,4.0,314
14,177,3.0,317
14,178,6.0,323
14,179,3.0,328
14,180,5.0,335
14,181,4.0,339
14,182,3.0,342
14,183,3.0,345
14,184,8.0,353
14,185,4.0,357
15,186,100000.0,253
15,187,7.0,260
15,188,5.0,266
15,189,11.0,277
15,190,3.0,280
15,191,4.0,284
15,192,3.0,287
15,193,5.0,292
15,194,9.0,301
15,195,3.0,304
15,196,4.0,308
15,197,5.0,313
15,198,8.0,321
15,199,7.0,328
15,200,3.0,331
16,201,100000.0,253
